,0,1,2,3
0,0,14,<!DOCTYPE html>,DTD
1,15,15,<,TAG_OPEN
2,16,19,html,TAG_NAME
3,20,20, ,TAG_WHITESPACE
4,21,24,lang,TAG_NAME
5,25,25,=,TAG_EQUALS
6,26,29,"""en""",ATTVALUE_VALUE
7,30,30,>,TAG_CLOSE
8,31,31,<,TAG_OPEN
9,32,35,head,TAG_NAME
10,36,36,>,TAG_CLOSE
11,37,37,<,TAG_OPEN
12,38,41,meta,TAG_NAME
13,42,42, ,TAG_WHITESPACE
14,43,49,charset,TAG_NAME
15,50,50,=,TAG_EQUALS
16,51,57,"""utf-8""",ATTVALUE_VALUE
17,58,58,>,TAG_CLOSE
18,59,59,<,TAG_OPEN
19,60,63,link,TAG_NAME
20,64,64, ,TAG_WHITESPACE
21,65,67,rel,TAG_NAME
22,68,68,=,TAG_EQUALS
23,69,74,"""icon""",ATTVALUE_VALUE
24,75,75, ,TAG_WHITESPACE
25,76,79,href,TAG_NAME
26,80,80,=,TAG_EQUALS
27,81,88,"""data:,""",ATTVALUE_VALUE
28,89,89,>,TAG_CLOSE
29,90,90,<,TAG_OPEN
30,91,94,link,TAG_NAME
31,95,95, ,TAG_WHITESPACE
32,96,98,rel,TAG_NAME
33,99,99,=,TAG_EQUALS
34,100,105,"""icon""",ATTVALUE_VALUE
35,106,106, ,TAG_WHITESPACE
36,107,110,href,TAG_NAME
37,111,111,=,TAG_EQUALS
38,112,119,"""data:,""",ATTVALUE_VALUE
39,120,120,>,TAG_CLOSE
40,121,121,<,TAG_OPEN
41,122,125,link,TAG_NAME
42,126,126, ,TAG_WHITESPACE
43,127,129,rel,TAG_NAME
44,130,130,=,TAG_EQUALS
45,131,136,"""icon""",ATTVALUE_VALUE
46,137,137, ,TAG_WHITESPACE
47,138,141,href,TAG_NAME
48,142,142,=,TAG_EQUALS
49,143,150,"""data:,""",ATTVALUE_VALUE
50,151,151,>,TAG_CLOSE
51,152,152,<,TAG_OPEN
52,153,156,link,TAG_NAME
53,157,157, ,TAG_WHITESPACE
54,158,160,rel,TAG_NAME
55,161,161,=,TAG_EQUALS
56,162,167,"""icon""",ATTVALUE_VALUE
57,168,168, ,TAG_WHITESPACE
58,169,172,href,TAG_NAME
59,173,173,=,TAG_EQUALS
60,174,181,"""data:,""",ATTVALUE_VALUE
61,182,182,>,TAG_CLOSE
62,183,183,<,TAG_OPEN
63,184,187,meta,TAG_NAME
64,188,188, ,TAG_WHITESPACE
65,189,192,name,TAG_NAME
66,193,193,=,TAG_EQUALS
67,194,204,"""generator""",ATTVALUE_VALUE
68,205,205, ,TAG_WHITESPACE
69,206,212,content,TAG_NAME
70,213,213,=,TAG_EQUALS
71,214,258,"""HTML Tidy for HTML5 for Linux version 5.6.0""",ATTVALUE_VALUE
72,259,259,>,TAG_CLOSE
73,260,260,<,TAG_OPEN
74,261,264,meta,TAG_NAME
75,265,265, ,TAG_WHITESPACE
76,266,269,name,TAG_NAME
77,270,270,=,TAG_EQUALS
78,271,280,"""viewport""",ATTVALUE_VALUE
79,281,281, ,TAG_WHITESPACE
80,282,288,content,TAG_NAME
81,289,289,=,TAG_EQUALS
82,290,326,"""width=device-width, initial-scale=1""",ATTVALUE_VALUE
83,327,327,>,TAG_CLOSE
84,328,328,<,TAG_OPEN
85,329,332,meta,TAG_NAME
86,333,333, ,TAG_WHITESPACE
87,334,337,name,TAG_NAME
88,338,338,=,TAG_EQUALS
89,339,351,"""description""",ATTVALUE_VALUE
90,352,352, ,TAG_WHITESPACE
91,353,359,content,TAG_NAME
92,360,360,=,TAG_EQUALS
93,361,362,"""""",ATTVALUE_VALUE
94,363,363,>,TAG_CLOSE
95,364,364,<,TAG_OPEN
96,365,368,meta,TAG_NAME
97,369,369, ,TAG_WHITESPACE
98,370,373,name,TAG_NAME
99,374,374,=,TAG_EQUALS
100,375,382,"""author""",ATTVALUE_VALUE
101,383,383, ,TAG_WHITESPACE
102,384,390,content,TAG_NAME
103,391,391,=,TAG_EQUALS
104,392,446,"""Mark Otto, Jacob Thornton, and Bootstrap contributors""",ATTVALUE_VALUE
105,447,447,>,TAG_CLOSE
106,448,448,<,TAG_OPEN
