,section
0,\section{Introduction}
1,\section{Superalgebras with transposition symmetry}
2,\section{Several supercharges and Extended SUSY}
3,"\section{Example: $N = 2, N_1 = 1$}"
4,\section{Complex SUSY algebras}
5,\section{``Strip-off'' problem}
6,\section{Optimization of supercharges}
7,\section{More about symmetry operators}
8,\section{Concluding remarks}
9,"\section*{Acknowledgments}
\hspace*{2ex} One of us (A.A.) is grateful to F. Cannata and J.-P.
Dedonder for useful discussions. This work was supported by the 
Grant RFBR 02-01-00499.
\begin{thebibliography}{99}
\bibitem{nico} H. Nicolai,
J. Phys. A: Math. Gen. A9 (1976) 1497.
%%CITATION = JPAGB,A9,1497;%%
\bibitem{witten} E. Witten,  Nucl. Phys. B188 (1981) 513.
%%CITATION = NUPHA,B188,513;%%
\bibitem{coop1} F. Cooper and B. Freedman, Ann. Phys. (N.Y.) 146 (1983)
    262.
%%CITATION = APNYA,146,262;%%
\bibitem{abi} A.A. Andrianov, N.V. Borisov and M.V. Ioffe,
JETP Lett. 39 (1984) 93;\quad
%%CITATION =  JTPLA,39,93;%%
Phys. Lett. A105 (1984) 19;
%%CITATION = PHLTA,A105,19;%%
\quad Theor. Math. Phys. 61 (1985) 1078.
%%CITATION = TMPHA,61,1078;%%
\bibitem{nieto} M.M. Nieto, Phys. Lett. B145 (1984) 208.
%%CITATION = PHLTA,B145,208;%%
\bibitem{miel}B. Mielnik, J. Math. Phys. 25 (1984) 3387.
%%CITATION =  JMAPA,25,3387;%%
\bibitem{fern}D. Fern\'andez, Lett. Math. Phys. 8 (1984) 337.
%%CITATION = LMPHD,8,337;%%
\bibitem{abei} A.A. Andrianov, N.V. Borisov, M.V. Ioffe and M.I. Eides,
 Phys. Lett.109A
(1985)143;
%%CITATION =  PHLTA,A109,143;%%
\quad Theor. Math. Phys. 61 (1985) 965.
%%CITATION = TMPHA,61,965;%%
\bibitem{sukum} C.V. Sukumar, J. Phys. A: Math. Gen. 18 (1985)
L57;\,
%%CITATION = JPAGB,A18,L57;%%
2917;\,
%%CITATION =JPAGB,A18,2917;%%
2937.
%%CITATION = JPAGB,A18,2937;%%
\bibitem{genden}
L.E. Gendenshtein and I.V. Krive, Sov. Phys. Usp. 28 (1985) 645.
%%CITATION = SOPUA,28,645;%%
\bibitem{lahiri}
A. Lahiri, P.K. Roy and B. Bagchi, Int. J. Mod. Phys. A5  (1990)
    1383.
%%CITATION = IMPAE,A5,1383;%%
\bibitem{cooper}
F. Cooper, A. Khare and U. Sukhatme, Phys. Rept. 251 (1995 )267.
%%CITATION = HEP-TH 9405029;%%
\bibitem{junker}
G. Junker, Supersymmetric Methods in Quantum and Statistical Physics
 (Springer, Berlin-Heidelberg, 1996).
\bibitem{lima} R. de Lima Rodrigues, hep-th/0205017.
%%CITATION = HEP-TH 0205017;%%
\bibitem{baye}
D.Baye,  Phys. Rev. Lett. 58  (1987) 2738; 
%%CITATION = PRLTA,58,2738;%%
\bibitem{acd}  R.D. Amado, F. Cannata and J.-P. Dedonder,  Phys. Rev.
 C41  (1990) 1289;\,
%%CITATION = PHRVA,C41,1289;%%
{\it ibid.} C43  (1991) 2077;\quad
%%CITATION = PHRVA,C43,2077;%%
Int. J. Mod. Phys. A5  (1990) 3401.
%%CITATION = IMPAE,A5,3401;%%
\bibitem{ain}
A.A. Andrianov, M.V. Ioffe and D.N. Nishnianidze,  Phys. Lett. A201
(1995) 103;
%%CITATION = HEP-TH 9404120;%%
 \quad Theor. Math. Phys.
104 (1995) 1129;
%%CITATION = TMPHA,104,1129;%%
\quad preprint solv-int/9605007;
%%CITATION = SOLV-INT 9605007;%%
\quad J. Phys. A: Math. Gen. A32 (1999) 4641.
%%CITATION = SOLV-INT 9810006;%%
\bibitem{matrix}
A. A. Andrianov, F. Cannata, M.V. Ioffe and D.N. Nishnianidze,
J. Phys. A: Math. Gen. A30 (1997) 5037.
%%CITATION = QUANT-PH 9707004;%%
\bibitem{new}
F. Cannata, M.V. Ioffe and D.N. Nishnianidze,
J. Phys. A: Math. Gen. A35 (2002) 1389.
%%CITATION = HEP-TH 0201080;%%
\bibitem{tur}
A.V. Turbiner,
Commun. Math. Phys. 118 (1988) 467.
%%CITATION = CMPHA,118,467;%%
\bibitem{shi}
M. A. Shifman,
Int. J. Mod. Phys. A12 (1989) 2897.
%%CITATION = IMPAE,A5,803;%%
\bibitem{bender}
C.M. Bender and G.V. Dunne,
J. Math. Phys. 37 (1996) 6.
%%CITATION = HEP-TH 9511138;%%
\bibitem{akosw}
H. Aoyama, H. Kikuchi, I. Okouchi, M. Sato and S. Wada,
Nucl. Phys. B553 (1999) 644.
%%CITATION = HEP-TH 9808034;%%
\bibitem{bagcan} B. Bagchi, F. Cannata and C. Quesne, Phys. Lett. A269
(2000) 79.
%%CITATION = PHLTA,A269,79;%%
\bibitem{sasaki}
R. Sasaki R. and K. Takasaki,
J. Phys. A: Math. Gen.  A34 (2001)
9533.
%%CITATION = HEP-TH 0109008;%%
\bibitem{klip2}
S.M. Klishevich and M.S. Plyushchay,
Nucl. Phys. B606 (2001) 583;\quad
%%CITATION = HEP-TH 0012023;%%
Nucl. Phys. B616 (2001) 403;\quad
%%CITATION = HEP-TH 0105135;%%
\bibitem{ddt}P. Dorey, C. Dunning and R. Tateo,
J. Phys.  A: Math. Gen. A34 (2001)
5679;\, L391 .
%%CITATION = HEP-TH 0103051;%%
%%CITATION = HEP-TH 0106037;%%
\bibitem{ais} A.A. Andrianov, M.V. Ioffe and V.P.  Spiridonov, Phys. Lett.
A174 (1993) 273.
%%CITATION = HEP-TH 9303005;%%
\bibitem{acdi}
A.A. Andrianov, F. Cannata, J-P. Dedonder and M.V. Ioffe,
Int. J. Mod. Phys. A10 (1995) 2683.
%%CITATION = HEP-TH 9404061;%%
\bibitem{matveev}
V.B. Matveev and M.A. Salle, Darboux Transformations and Solitons
(Springer, Berlin-Heidelberg, 1991).
\bibitem{bags}
V.G. Bagrov and B.F. Samsonov,
Theor. Math. Phys. 104 (1995) 1051.
%%CITATION = TMPHA,104,1051;%%
\bibitem{sam}
B.F. Samsonov,
Mod. Phys. Lett. A11 (1996) 1563.
%%CITATION = QUANT-PH 9611012;%%
\bibitem{gango}
A. Gangopadhyaya and U. Sukhatme,  Phys. Lett. A224  (1996) 5.
%%CITATION = HEP-TH 9611086;%%
\bibitem{sukhatme}
U. Sukhatme, C. Rasinariu and A. Khare, Phys. Lett. A234 (1997) 401.
%%CITATION = HEP-PH 9706282;%%
\bibitem{das} A. Das and S.A. Pernice, Mod. Phys. Lett. A12 (1997) 581.
%%CITATION = HEP-TH 9612125;%%
\bibitem{ferna1}
D.J. Fern\'{a}ndez C.,
Int. J. Mod. Phys. A12 (1997) 171.
%%CITATION = QUANT-PH 9609009%%
\bibitem{Junker:1998sj}
G. Junker and P. Roy,
Ann. Phys. 270 (1998) 155.
%%CITATION = QUANT-PH 9803024;%%
\bibitem{hussin}
D.J. Fern\'andez C., V. Hussin and B. Mielnik,  Phys. Lett. A244   (1998)
309.
%%CITATION = PHLTA,A244,309;%%
\bibitem{ros}
J. O. Rosas-Ortiz,
J. Phys. A31 (1998) 10163.
%%CITATION = QUANT-PH 9806020;%%
\bibitem{bagchi} B. Bagchi, A. Ganguly, D. Bhaumik and A. Mitra,  Mod.
Phys. Lett. A14 (1999) 27.
%%CITATION = MPLAE,A14,27;%%
\bibitem{ferneg}
D. J. Fern\'andez C., J. Negro and L.M. Nieto,
Phys. Lett. A275 (2000) 338.
%%CITATION = PHLTA,A275,338;%%
\bibitem{ferhus}
D.J. Fern\'andez C. and V. Hussin, preprint quant-ph/0011004.
%%CITATION = QUANT-PH 0011004;%%  
\bibitem{ply}
M.S. Plyushchay,
Int. J. Mod. Phys. A15 (2000) 3679;\quad
%%CITATION = HEP-TH 9903130;%%
Phys.Lett. B485 (2000) 187.
%%CITATION = HEP-TH 0005122;%% 
\bibitem{asty}
H. Aoyama, M. Sato, T. Tanaka and M. Yamamoto,
Phys. Lett. B498 (2001) 117.
%%CITATION = QUANT-PH 0011009;%%
\bibitem{ast}H. Aoyama, M. Sato and T. Tanaka,
Phys. Lett. B503 (2001) 423.
%%CITATION = QUANT-PH 0012065;%%
\bibitem{ast2}
H. Aoyama, M. Sato and T. Tanaka,
Nucl. Phys. B619 (2001) 105.
%%CITATION= QUANT-PH 0106037;%%
\bibitem{anst} 
H. Aoyama, N. Nakayama, M. Sato and T. Tanaka, Phys. Lett. B519 (2001) 
260;\quad
%%CITATION = HEP-TH 0107048;%%
Phys. Lett. B521 (2001) 400.
%%CITATION = HEP-TH 0108124;%%
\bibitem{tan}  T. Tanaka, preprint hep-th/0212276.
%%CITATION = HEP-TH 0212276;%% 
\bibitem{klip}
S.M. Klishevich and M.S. Plyushchay,
Nucl. Phys. B628 (2002) 217.
%%CITATION = HEP-TH 0112158;%%
\bibitem{fermun} D. J. Fern\'andez C., R. Mu\~noz and A. Ramos,
preprint quant-ph/0212026.
%%CITATION = QUANT-PH 0212026;%% 
\bibitem{shab}
A.P. Veselov and A.B. Shabat, Funct. Anal. Appl. 27  (1993) 81.
%%CITATION = FAAPB,27,81;%%
\bibitem{adler}
V.E. Adler, Funct. Anal. Appl. 27 (1993) 140.
%%CITATION = FAAPB,27,140;%%
\bibitem{zhdan}
R. Zhdanov,  J. of Math. Phys. 37 (1996) 3198.
%%CITATION = HEP-TH 9606028;%%
\bibitem{fush} W. Fushchych, A. Nikitin,  J. of Math. Phys. 38 (1997) 5944.
%%CITATION = JMAPA,38,5944;%%
\bibitem{doeb} H.-D. Doebner, R. Zhdanov, math-ph/9809021
%%CITATION = MATH-PH 9809021;%%
\bibitem{comalg}
A.A. Andrianov, F. Cannata, M.V. Ioffe and D.N. Nishnianidze,
preprint  quant-ph/9902057;\quad
Phys. Lett. A266 (2000) 341.
%%CITATION = QUANT-PH 9902057;%%
\bibitem{refl}S. Fl\""ugge, Practical Quantum Mechanics (Springer,
Berlin-Heidelberg, 1971);\\
B.N. Zakhariev and A.A. Suzko, Direct and Inverse Methods (Springer,
Berlin-Heidelberg,1990).
\bibitem{acdicom} A.A. Andrianov, F. Cannata, J-P. Dedonder and M.V. Ioffe,
Int. J. Mod. Phys. A14 (1999) 2675 
%%CITATION = QUANT-PH 9806019;%%
\end{thebibliography}
\end{document}

"
