,section\*
0,\section*{\large\bf \quad 1. Introduction}
1,"\section*{\large\bf \quad 2.
Pauli Hamiltonian as a matrix component of the superhamiltonian. }"
2,\section*{\large\bf \quad 3. Unitary rotation.}
3,"\section*{\large\bf \quad 4. The dependence of the spectrum on the
momentum along the axis $x_2$.}"
4,\section*{\large\bf \quad 5. More general factorization method.}
5,\section*{\large\bf \quad 6. The cases when $H^{(0)}$ is diagonalizable.}
6,\section*{\large\bf \quad 7. A three-dimensional factorization.}
7,\section*{\normalsize\bf Acknowledgements}
8,\section*{\large\bf \quad Appendix.}
9,\section*{\large\bf \quad References.}
