,displaymath
0,"\begin{displaymath}
\mbox{Ext}^*_X\left( i_* {\cal E}, j_* {\cal F} \right)
\"
1,"\begin{displaymath}
\mbox{Ext}^*_X\left( j_* {\cal F}, i_* {\cal E} \right)
\"
2,"\begin{displaymath}
g_{i j} \, g_{j k} \, g_{k i} \: = \:
\alpha_{i j k}
\"
3,"\begin{displaymath}
\mbox{Ext}^*_{X, \omega}\left( i_* {\cal E}, j_* {\cal F} \right)
\"
4,"\begin{displaymath}
\mbox{Ext}^*_{X, \omega}\left( j_* {\cal F}, i_* {\cal E} \right)
\"
5,"\begin{displaymath}
g_{i j} g_{j k} g_{k i}
\: = \: 1
\"
6,"\begin{displaymath}
H^2(X, {\cal O}_X ) \: \longrightarrow \:
H^2(X, {\cal O}_X^* ) \: \longrightarrow \:
H^3(X, {\bf Z} ) \: \longrightarrow \: H^3(X, {\cal O}_X )
\"
7,"\begin{displaymath}
H^3(X, {\bf Z} ) \to H^3(X, {\cal
O}_X )\simeq H^{0,3}(X).
\"
8,"\begin{displaymath}
\mbox{Ext}^i_{X, \omega}\left( {\cal S}, {\cal T} \right) \: \cong \:
\mbox{Ext}^{n-i}_{X, \omega}\left( {\cal T}, {\cal S} \right)^*
\"
9,"\begin{displaymath}
b^{\alpha \beta j_1 \cdots j_m}_{\overline{\imath}_1 \cdots 
\overline{\imath}_n}(\phi_0) \, \eta^{ \overline{\imath}_1} \cdots
\eta^{ \overline{\imath}_n} \theta_{j_1} \cdots \theta_{j_m}
\"
10,"\begin{displaymath}
H^p\left(S, {\cal E}^{\vee} \otimes {\cal F} \otimes \Lambda^q {\cal N}_{S/X}
\right) \: \Longrightarrow \:
\mbox{Ext}^{p+q}_{ X, \omega }\left( i_* {\cal E}, i_* {\cal F} \right)
\"
11,"\begin{displaymath}
H^0(S, {\cal E}^{\vee} \otimes {\cal E} \otimes {\cal N}_{S/X} )
\: \stackrel{ \delta }{\longrightarrow} \: 
H^1(S, {\cal E}^{\vee} \otimes {\cal E} \otimes TS )
\: \stackrel{eval}{\longrightarrow} \:
H^2(S, {\cal E}^{\vee} \otimes {\cal E} )
\"
12,"\begin{displaymath}
b^{\alpha \beta j_1 \cdots j_m}_{ 
\overline{\imath}_1 \cdots \overline{\imath}_n}(\phi_0)
\eta^{ \overline{\imath}_1 } \cdots
\eta^{ \overline{\imath}_n }
\theta_{j_1} \cdots \theta_{j_m}
\"
13,"\begin{displaymath}
H^n\left(T, \left( {\cal E}|_T \right)^{\vee} \otimes {\cal F}
\otimes \Lambda^m {\cal N}_{S/X} \right) \: \Longrightarrow \:
\mbox{Ext}^{n+m}_{ X, \omega }\left( i_* {\cal E}, j_* {\cal F} \right)
\"
14,"\begin{displaymath}
\begin{array}{c}
H^p\left( S \cap T, {\cal E}^{\vee}|_{S \cap T} \otimes
{\cal F}|_{S \cap T} \otimes \Lambda^{q-m} \tilde{N} \otimes
\Lambda^{top} {\cal N}_{S \cap T/T} \right) \\
H^p\left( S \cap T, {\cal E}|_{S \cap T} \otimes {\cal F}^{\vee}|_{
S \cap T} \otimes \Lambda^{q-n} \tilde{N} \otimes \Lambda^{top} {\cal N}_{S \cap T/S}
\right) 
\end{array}
\"
15,"\begin{displaymath} 
\tilde{N} \: = \: TX|_{S \cap T} / \left( TS|_{S \cap T} + TT|_{S \cap T} \right)
\"
16,"\begin{displaymath}
\xymatrix{
W \ar@{^{(}->}[r]^{k} \ar@{^{(}->}[d]^{l} & 
S \ar@{^{(}->}[d]_{i} \\
T \ar@{^{(}->}[r]^{j} & X.
}
\"
