,cite
0,\cite{Witten}
1,\cite{GJ}
2,"\cite
{split,rszSplit,GT,KO,B1}, led to the development of the
Moyal star formulation of string field theory (MSFT) during the past two
years \cite{B1}-\cite{BKM2}%
. This formulation has the following features:

\begin{enumerate}
\item  The star product in Witten's string field theory is mapped to the
Moyal star product \cite{B1} after an appropriate change of variables. The
string field $A\left( \bar{x},x_{e}.p_{e}\right) $ in the new basis is a
function of the string midpoint $\bar{x}$ and the phase space $\left(
x_{e},p_{e}\right) $ of even string modes $e=2,4,6,\cdots $. While Witten's
star product, written in terms of Neumann coefficients \cite{GJ}, is very
complicated to manipulate in computations, the Moyal star product in MSFT,
which is diagonal in mode space labelled by $e$, is the simplest form of the
star product that occurs in standard noncommutative geometry. This feature
vastly simplifies the structure of string field theory and is very helpful
in explicit computations.

\item  The change of variables introduces a set of simple but infinite
matrices $T_{eo},R_{oe},v_{o},w_{e},$ labelled by $e=2,4,6,\cdots ,$ and $%
o=1,3,5,\cdots ,$ which contain basic information about even $\left(
e\right) $ and odd $\left( o\right) $ string modes. These matrices obey a
matrix algebra that has an associativity anomaly, which in turn feeds into
an associativity anomaly among string fields \cite{BM1}. The origin of the
anomaly is the infinite number of string modes that cause the appearance of
ambiguous terms of the form $\infty /\infty .$ In order to resolve this
problem, we proposed \cite{BM1, BM2} a regularization by truncating the
number of the oscillators to finite $2N$, and defined a deformed set of
finite matrices $T,R,v,w$ as functions of the oscillator frequencies $\kappa
_{e},\kappa _{o}$ of the $2N$ modes. After such regulation, the
associativity is restored and all manipulations become well-defined. The
original open string field theory is restored by taking the original
frequencies, $\kappa _{e}=e,$ $\kappa _{o}=o,$ and the large $N$ limit at
the end of the computation. Through explicit computation of specific
examples, it has been shown that this regulation procedure correctly
reproduces results computed independently in conformal string theory.

\item  In the regularized basis, we computed the Neumann coefficients
analytically by using only the Moyal product. These coefficients are not
needed for computations in MSFT, but they provide a check of MSFT relative
to the operator formulation given in \cite{GJ}. We have shown that the
Neumann coefficients derived in the regularized MSFT framework satisfy the
Gross-Jevicki nonlinear relations, and thus provide a generalization of
Neumann coefficients for any set of frequencies $\kappa _{e},\kappa _{o}$
and any $N.$ This provided the first consistency check of MSFT \cite{BM2}.
Furthermore, we found that the Neumann coefficients for any $n$-point vertex
are all simple functions of a single matrix $t_{eo}=\kappa
_{e}^{1/2}T_{eo}\kappa _{o}^{-1/2}.$ Diagonalizing the matrix $t$
diagonalizes all the Neumann coefficients simultaneously for all $n$-point
vertices \cite{BM2}. At large $N$ our diagonal form agrees with the one
given in \cite{spectro}\cite{DLMZ}, and explains in particular why there is
Neumann spectroscopy for the 3-point vertex \cite{spectro}, and generalizes
it to any $n$-point vertex \cite{BM2}.

\item  One of the nice features of MSFT is that the star product is diagonal
in mode space (i.e. independent and same for each mode). The only cost for
this simplification is that the kinetic term given by the Virasoro operator $%
L_{0}$ becomes off-diagonal in mode space $\left( x_{e},p_{e}\right) $ \cite
{BM2}. However, this has not hindered explicit computations. In particular,
we have derived the Feynman rules, including the propagator $\left(
L_{0}-1\right) ^{-1},$ and shown that we can evaluate efficiently and
