,eq
0,"\begin{eq}{rl}
g:(G/H)_{\rm repr}\map \C,&x\mape g( x)\cr
k\in G:&g_k(x)=g(k\m x)\cr
\"
1,"\begin{eq}{l}
 x\in G\m x_0\cong G/H, ~~G\m x_0\sub V\cong \R^d
\"
2,"\begin{eq}{rll}
(G/H)_{\rm repr}&\map \C,& x\mape g(x)=\int d^d q~ \tilde g(q)e^{iqx}
\"
3,"\begin{eq}{l}
\tilde g(q)\cong {Q(q)\over P(q)}\sim
\left\{\begin{array}{lll}
{1\over q -\mu},&\mu\in\R\pl i\R,&\hbox{linear}\cr
{(q)^j\over (q^2-m^2)^n}&m\in\R,&\hbox{compact}\cr
{(q)^j\over (q^2+m^2)^n},&m\in\R,&\hbox{noncompact}\cr\end{array}\right.
\"
4,"\begin{eq}{l}
K\map\C,~~ x_K\mape  g( x_K,0)

=\int {d^{d-s} x_\perp\over(2\pi)^{d-s}} g(x)
=\int d^s q_K ~\tilde g(q_K,0) e^{i  q_Kx_K }
\"
5,"\begin{eq}{rl}
\R\ni x\mape e^{i(\mu+\cl N_N )x}&\in\GL(\C^{1+N}), ~~N=0,1,2,\dots \cr
e^{i\mu x}&\in\GL(\C),~~e^{i\cl N_N x}\in\SL(\C^{1+N})
\"
6,"\begin{eq}{l}
\hbox{e.g. }
\cl N_3={\scriptsize\pmatrix{
0&1&0&0\cr
0&0&1&0\cr
0&0&0&1\cr
0&0&0&0\cr}}\then \cl N_3^3\ne 0,~~\cl N_3^4=0 ,~~
e^{i\cl N_3x}={\scriptsize\pmatrix{
1&ix&{(ix)^2\over 2!}&{(ix)^3\over 3!}\cr
0&1&x&{(ix)^2\over 2!}\cr
0&0&1&ix\cr 0&0&0&1\cr}}
\"
7,"\begin{eq}{l}
e^{im_1x}{\scriptsize\pmatrix{
1&ix\cr
0&1\cr}}\ox
e^{im_2x}{\scriptsize\pmatrix{
1&ix\cr
0&1\cr}}\cong
e^{i(m_1+m_2)x}
{\scriptsize\left(\begin{array}{c|ccc}
1&0&0&0\cr\hline
0&1&ix&{(ix)^2\over 2}\cr
0&0&1&ix\cr
0&0&0&1\cr\end{array}\right)}
\"
8,"\begin{eq}{l}
\vth(\pm x)x^Ne^{i\mu x}=({\p\over\p i \mu})^N \vth(\pm x)e^{i\mu x}
,~~N=0, 1,\dots,~~\mu\in\R\pl i\R
\"
9,"\begin{eq}{rl}
\R\ni t&\mape  e^{ imt}
=\oint ~{dq\over2 i\pi}{1\over q-m}e^{ iqt}=\int dq~\de(q-m)e^{ iqt}
\in\U(1)\cr
\R\ni 0&\mape  1
=\oint ~{dq\over2 i\pi}{1\over q-m}
\cr
\"
10,"\begin{eq}{rl}
[ N  |m]_\ar
&=\({d\over dm}\)^ N  [0|m]_\ar
={[N|m]_\de\pm i[N|m]_\ro P\over 2},~~ N  =0,1,\dots\cr
&\cong \pm{1\over2i\pi}{\Ga(1+ N  ) \over ( q \mp io-m )^{1+ N  }}
={1\over 2}[ \de^{( N  )}(m- q )
\pm{1\over i\pi}{\Ga(1+ N  )  \over ( q_\ro P-m)^{1+ N  }}]\cr
\"
11,"\begin{eq}{rrr}
\R_\ar\ni \vth(\pm t)t\mape&
\pm
\int {dq\over 2i\pi} {\Ga(1+ N  )  \over ( q \mp io -m)^{1+ N  }}e^{iqt }
=&\vth(\pm t)(it)^ N   e^{imt}\cr
\R_\od\uplus\R_\and\ni t\mape&
\int {dq \over i\pi}~{\Ga(1+ N  )
\over ( q_{\ro P}-m)^{1+ N  }}e^{iqt }
=&\ep(t)(it)^ N  e^{imt}\cr
\R\ni t\mape&
\oint {dq \over 2i\pi}~{\Ga(1+ N  )
\over ( q-m)^{1+ N  }}e^{iqt }\hskip4mm&\cr
&=\int dq ~
\de^{( N  )}(m- q )e^{iqt }
=&(it)^ N  e^{imt}\cr
\"
12,"\begin{eq}{l}
\ol\C\ni q\mape  {1
\over ( q-m)^{1+ N  }}\in\ol\C
\"
13,"\begin{eq}{l}
\Res {m}
{\SUM_{n=0}^N}
{a_{-1-n}
\over ( q-m)^{1+ n  }}
={\SUM_{n=0}^N}
\oint{dq\over 2i\pi}{a_{-1-n}
\over ( q-m)^{1+ n  }}=a_{-1}
\"
14,"\begin{eq}{cl}
{\scriptsize

\begin{array}{|c||c|c||c|c|}\hline
\m&\vth(t)&\vth(-t)&1&-i\ep(t)\cr\hline\hline
\vth(t)&\vth(t)&0&\vth(t)&-i\vth(t)\cr\hline
\vth(-t)&&\vth(-t)&\vth(-t)&i\vth(-t)\cr\hline\hline
1&&&1&-i\ep(t)\cr\hline
-i\ep(t)&&&&-1\cr\hline
\end{array} }&\then\cr\cr

{\scriptsize
\begin{array}{|c||c|c||c|c|}\hline
*&[N_1|m_1]_\od&[N_1|m_1]_\and&[N_1|m_1]_\de&[N_1|m_1]_\ro P\cr\hline\hline
[N_2|m_2]_\od&[N_+|m_+]_\od&0&[N_+|m_+]_\od&-i[N_+|m_+]_\od\cr\hline
[N_2|m_2]_\and&&[N_+|m_+]_\and&[N_+|m_+]_\and&i[N_+|m_+]_\and\cr\hline\hline
[N_2|m_2]_\de&&&[N_+|m_+]_\de&[N_+|m_+]_\ro P\cr\hline
[N_2|m_2]_\ro P&&&&-[N_+|m_+]_\de\cr\hline

\end{array}}&
\hbox{  with }\begin{array}{rl}
N_+&= N_1+ N_2\cr
 m_+&=m_1+m_2\cr\end{array}\cr

\"
15,"\begin{eq}{llcrl}
  [m^2]_\ar&={[m^2]_\ep\pm i[m^2]_\ro P\over2}
&\cong& \pm{1 \over 2i\pi}
{|m|\over (q\mp io)^2 -m^2}
&=\pm{1\over 4i\pi}({1\over q\mp io-|m|}-{1\over q\mp io+|m|})
\cr
[m^2]_\pm&=[m^2]_\de\pm i[m^2]_\ro P
 &\cong&\pm{1\over i\pi}
{|m|\over q^2\mp io -m^2}&
=\pm{1\over 2i\pi}({1\over q\mp io-|m|}-{1\over q\pm io+|m|})
\"
16,"\begin{eq}{l}
\left.\begin{array}{lcr}
[m^2]_\ep&\cong&|m|\ep(q)\de(q^2 -m^2)\cr
[m^2]_\de&\cong &|m|\de(q^2 -m^2)\cr\end{array}
\right\}\hbox{ with }i[m^2]_\ro P\cong {1 \over i\pi}
{|m|\over q^2_\ro P -m^2}\cr

\"
17,"\begin{eq}{rl}
{\scriptsize\pmatrix{1\cr\ep(q)\cr}}\de(q^2-m^2)
&=\de_\od(q^2-m^2)
\pm \de_\and(q^2-m^2)\cr
\hbox{with }\de_\ar(q^2-m^2)&=\vth(\pm q)\de(q^2-m^2)={1\over 2|m|}\de(q\mp|m|)
\"
18,"\begin{eq}{l}
\pm{1 \over 2i\pi}
{q\over (q\mp io)^2 -m^2},~~
\pm{1 \over i\pi}
{q\over q^2\mp io -m^2}
\hbox{ etc.}
\"
