,gather
0,"\begin{gather} 
^\ensuremath{\Lambda}\!\ensuremath{\Lambda}_\Pi =\left(\begin{array}{ccc} \ensuremath{\lambda}^\mu_{\ \nu} & \ensuremath{\sigma}^\mu_{\ \ensuremath{\beta}\dot{\ensuremath{\alpha}}}\;\xi^{\dot{\ensuremath{\alpha}}} & \ensuremath{\sigma}^\mu_{\ \ensuremath{\alpha}\dot{\ensuremath{\beta}}}\;\xi^{\ensuremath{\alpha}} \\
0 & \frac{1}{2}\ensuremath{\lambda}_{\mu\nu}\;\ensuremath{\sigma}^{\mu\nu\ensuremath{\alpha}}_{\ \ \ \,\ensuremath{\beta}} & 0 \\
0 & 0 & \frac{1}{2}\ensuremath{\lambda}_{\mu\nu}\;\ensuremath{\sigma}^{\mu\nu\dot{\ensuremath{\alpha}}}_{\ \ \ \,\dot{\ensuremath{\beta}}} \end{array}\right) \\[8pt]
 \Rightarrow\quad _\ensuremath{\Lambda}\ensuremath{\Lambda}_\Pi=\left(\begin{array}{ccc} \ensuremath{\lambda}_{\mu\nu} & \ensuremath{\sigma}_{\mu\ensuremath{\beta}\dot{\ensuremath{\alpha}}}\;\xi^{\dot{\ensuremath{\alpha}}} & \ensuremath{\sigma}_{\mu\ensuremath{\alpha}\dot{\ensuremath{\beta}}}\;\xi^{\ensuremath{\alpha}} \\
0 & -\frac{1}{2}k^2\ensuremath{\lambda}_{\mu\nu}\;\ensuremath{\sigma}^{\mu\nu}_{\ \ \ensuremath{\alpha}\ensuremath{\beta}} & 0 \\
0 & 0 & \frac{1}{2}k^2\ensuremath{\lambda}_{\mu\nu}\;\ensuremath{\sigma}^{\mu\nu}_{\ \ \dot{\ensuremath{\alpha}}\dot{\ensuremath{\beta}}} \end{array}\right) \label{rotsp}
\"
1,"\begin{gather}
\ensuremath{\delta}\,^A\!E_\ensuremath{\Lambda}=\Xi^A_{\ ,\ensuremath{\Lambda}}+(-1)^{B(A+1)}\;\;\Xi^B\;A^A_{\ B\ensuremath{\Lambda}}-\,^A\!\ensuremath{\Lambda}_B\;^B\!E_\ensuremath{\Lambda},  \label{etrans} \\
\ensuremath{\delta}\,A^A_{\ B\ensuremath{\Lambda}}=\,^A\!\ensuremath{\Lambda}_{B,\ensuremath{\Lambda}}+(-1)^{(C+B)(A+C)}\;\;^C\!\ensuremath{\Lambda}_B\;A^A_{\ C\ensuremath{\Lambda}}-\,^A\!\ensuremath{\Lambda}_C\;A^C_{\ B\ensuremath{\Lambda}}, \label{atrans}
\"
2,"\begin{gather}
R^A_{\ \ensuremath{\Lambda}\Pi}=(-1)^{\ensuremath{\Lambda}\Pi}\;\;^A\!E_{\Pi,\ensuremath{\Lambda}}-\,^A\!E_{\ensuremath{\Lambda},\Pi}+(-1)^{\ensuremath{\Lambda} B}\;A^A_{\ B\ensuremath{\Lambda}}\;^B\!E_\Pi-(-1)^{\Pi(B+\ensuremath{\Lambda})}\;A^A_{\ B\Pi}\;^B\!E_\ensuremath{\Lambda}, \label{Tor} \\
R^A_{\ B\ensuremath{\Lambda}\Pi}=(-1)^{\ensuremath{\Lambda}\Pi}\; A^A_{\ B\Pi,\ensuremath{\Lambda}}-A^A_{\ B\ensuremath{\Lambda},\Pi}+(-1)^{\ensuremath{\Lambda}(C+B)}\; A^A_{\ C\ensuremath{\Lambda}}\,A^C_{\ B\Pi}-(-1)^{\Pi(C+B+\ensuremath{\Lambda})}\; A^A_{\ C\Pi}\,A^C_{\ B\ensuremath{\Lambda}}. \label{Cur}
\"
3,"\begin{gather}
\begin{split}
R^A_{\ \ensuremath{\Lambda}\Pi|\ensuremath{\Sigma}}&+(-1)^{\ensuremath{\Lambda}(\Pi+\ensuremath{\Sigma})}\;R^A_{\ \Pi\ensuremath{\Sigma}|\ensuremath{\Lambda}}+(-1)^{\ensuremath{\Sigma}(\ensuremath{\Lambda}+\Pi)}\;R^A_{\ \ensuremath{\Sigma}\ensuremath{\Lambda}|\Pi}=(-1)^{(B+\ensuremath{\Lambda})(\Pi+\ensuremath{\Sigma})}\;R^A_{\ B\Pi\ensuremath{\Sigma}}\,^B\!E_\ensuremath{\Lambda}  \\
&+(-1)^{B(\ensuremath{\Sigma}+\ensuremath{\Lambda})+\ensuremath{\Sigma}(\ensuremath{\Lambda}+\Pi)}\;R^A_{\ B\ensuremath{\Sigma}\ensuremath{\Lambda}}\,^B\!E_\Pi+(-1)^{B(\ensuremath{\Lambda}+\Pi)}\;R^A_{\ B\ensuremath{\Lambda}\Pi}\,^B\!E_\ensuremath{\Sigma},
\end{split}  \label{bian1}  \\[8pt]
R^A_{\ B\ensuremath{\Lambda}\Pi|\ensuremath{\Sigma}}+(-1)^{\ensuremath{\Lambda}(\Pi+\ensuremath{\Sigma})}\;R^A_{\ B\Pi\ensuremath{\Sigma}|\ensuremath{\Lambda}}+(-1)^{\ensuremath{\Sigma}(\ensuremath{\Lambda}+\Pi)}\;R^A_{\ B\ensuremath{\Sigma}\ensuremath{\Lambda}|\Pi}=0,  \label{bian2}
\"
4,"\begin{gather}
^A\!E_\ensuremath{\Lambda}(Z^\ensuremath{\alpha}=Z^{\dot{\ensuremath{\alpha}}}=0)=\left(\begin{array}{ccc} e^m_{\ \,\mu} & 0 & 0 \\
\frac{1}{2}\psi^a_{\ \mu} & \frac{1}{k}\,^a\ensuremath{\delta}_\ensuremath{\alpha} & 0 \\
\frac{1}{2}\psi^{\dot{a}}_{\ \mu} & 0 & \frac{1}{k}\,^{\dot{a}}\ensuremath{\delta}_{\dot{\ensuremath{\alpha}}} \end{array}\right), \label{ecurv} \\
A^A_{\ B\ensuremath{\alpha}}(Z^\ensuremath{\alpha}=Z^{\dot{\ensuremath{\alpha}}}=0)=A^A_{\ B\dot{\ensuremath{\alpha}}}(Z^\ensuremath{\alpha}=Z^{\dot{\ensuremath{\alpha}}}=0)=0, \label{A=0}
\"
5,"\begin{gather}
A^A_{\ B\ensuremath{\Lambda}}=\left(\begin{array}{ccc} A^m_{\ \,n\ensuremath{\Lambda}} & \ensuremath{\sigma}^m_{\ \,b\dot{a}}\;^{\dot{a}}\!E_\ensuremath{\Lambda} & \ensuremath{\sigma}^m_{\ \,a\dot{b}}\;^{a}\!E_\ensuremath{\Lambda} \\
-\frac{1}{k^2}\ensuremath{\sigma}_{n\ \dot{a}}^{\ a}\;^{\dot{a}}\!E_\ensuremath{\Lambda} & \frac{1}{2}A^m_{\ \,n\ensuremath{\Lambda}}\;\ensuremath{\sigma}_{m\ \ b}^{\ \;na} & 0 \\
\frac{1}{k^2}\ensuremath{\sigma}_{na}^{\ \ \,\dot{a}}\;^a\!E_\ensuremath{\Lambda} & 0 & \frac{1}{2}A^m_{\ \,n\ensuremath{\Lambda}}\;\ensuremath{\sigma}_{m\ \ \dot{b}}^{\ \;n\dot{a}} \end{array}\right),   \label{con1}    \\[8pt]
^A\!\ensuremath{\Lambda}_B=\left(\begin{array}{ccc} ^m\!\ensuremath{\Lambda}_{\!\!\!\ n} & \ensuremath{\sigma}^m_{\ \,b\dot{a}}\;\Xi^{\dot{a}} & \ensuremath{\sigma}^m_{\ \,a\dot{b}}\;\Xi^{a} \\ 
-\frac{1}{k^2}\ensuremath{\sigma}_{n\ \dot{a}}^{\ a}\;\Xi^{\dot{a}} & \frac{1}{2}\,^m\!\ensuremath{\Lambda}_n\;\ensuremath{\sigma}_{m\ \ b}^{\ \;na} & 0 \\
\frac{1}{k^2}\ensuremath{\sigma}_{na}^{\ \ \,\dot{a}}\;\Xi^a & 0 & \frac{1}{2}\,^m\!\ensuremath{\Lambda}_n\;\ensuremath{\sigma}_{m\ \ \dot{b}}^{\ \;n\dot{a}} \end{array}\right). \label{con2}
\"
6,"\begin{gather}
\begin{split}
R^m_{\ \,\ensuremath{\Lambda}\Pi}=&(-1)^{\ensuremath{\Lambda}\Pi}\;\;^m\!E_{\Pi,\ensuremath{\Lambda}}-\,^m\!E_{\ensuremath{\Lambda},\Pi}+A^m_{\ \,n\ensuremath{\Lambda}}\;^n\!E_\Pi-(-1)^{\Pi\ensuremath{\Lambda}}\;A^m_{\ \,n\Pi}\;^n\!E_\ensuremath{\Lambda}   \\
&+2(-1)^\ensuremath{\Lambda}\;\ensuremath{\sigma}^m_{\ \,a\dot{a}}(^{\dot{a}}\!E_\ensuremath{\Lambda}\;^a\!E_\Pi+\,^a\!E_\ensuremath{\Lambda}\;^{\dot{a}}\!E_\Pi),  
\end{split} \label{Tora}  \\[8pt]
R^a_{\ \ensuremath{\Lambda}\Pi}=(-1)^{\ensuremath{\Lambda}\Pi}\;\;^a\!E_{\Pi,\ensuremath{\Lambda}}-\,^a\!E_{\ensuremath{\Lambda},\Pi}+\frac{1}{2}(-1)^\ensuremath{\Lambda}\;A^m_{\ \,n\ensuremath{\Lambda}}\;\ensuremath{\sigma}_{m\ \ b}^{\ \;na}\;^b\!E_\Pi-\frac{1}{2}(-1)^{\Pi(1+\ensuremath{\Lambda})}\;A^m_{\ \,n\Pi}\;\ensuremath{\sigma}_{m\ \ b}^{\ \;na}\;^b\!E_\ensuremath{\Lambda}, \label{Torb} \\
R^{\dot{a}}_{\ \ensuremath{\Lambda}\Pi}=(-1)^{\ensuremath{\Lambda}\Pi}\;\;^{\dot{a}}\!E_{\Pi,\ensuremath{\Lambda}}-\,^{\dot{a}}\!E_{\ensuremath{\Lambda},\Pi}+\frac{1}{2}(-1)^\ensuremath{\Lambda}\;A^m_{\ \,n\ensuremath{\Lambda}}\;\ensuremath{\sigma}_{m\ \ \dot{b}}^{\ \;n\dot{a}}\;^{\dot{b}}\!E_\Pi-\frac{1}{2}(-1)^{\Pi(1+\ensuremath{\Lambda})}\;A^m_{\ \,n\Pi}\;\ensuremath{\sigma}_{m\ \ \dot{b}}^{\ \;n\dot{a}}\;^{\dot{b}}\!E_\ensuremath{\Lambda}, \label{Torc}
\"
7,"\begin{gather}
R^m_{\ \,n\ensuremath{\Lambda}\Pi}=(-1)^{\ensuremath{\Lambda}\Pi}\,A^m_{\ \,n\Pi,\ensuremath{\Lambda}}-A^m_{\ \,n\ensuremath{\Lambda},\Pi}+A^m_{\ \,r\ensuremath{\Lambda}}A^r_{\ n\Pi}-(-1)^{\ensuremath{\Lambda}\Pi}\,A^m_{\ \,r\Pi}A^r_{\ n\ensuremath{\Lambda}}, \label{Cura} \\
R^m_{\ \,a\ensuremath{\Lambda}\Pi}=\ensuremath{\sigma}^m_{\ \,a\dot{a}}\,R^{\dot{a}}_{\ \ensuremath{\Lambda}\Pi}, \quad R^m_{\ \,\dot{a}\ensuremath{\Lambda}\Pi}=\ensuremath{\sigma}^m_{\ \,a\dot{a}}\,R^a_{\ \ensuremath{\Lambda}\Pi},
\quad R^{\dot{a}}_{\ m\ensuremath{\Lambda}\Pi}=R^{\dot{a}}_{\ m\ensuremath{\Lambda}\Pi}=0, \label{Curb} \\[8pt]
R^a_{\ b\ensuremath{\Lambda}\Pi}=\frac{1}{2}R^m_{\ \,n\ensuremath{\Lambda}\Pi}\,\ensuremath{\sigma}_{m\ \ b}^{\ \;na},  \quad R^{\dot{a}}_{\ \dot{b}\ensuremath{\Lambda}\Pi}=\frac{1}{2}R^m_{\ \,n\ensuremath{\Lambda}\Pi}\,\ensuremath{\sigma}_{m\ \ \dot{b}}^{\ \;n\dot{a}}.  \label{Curc}
\"
8,"\begin{gather}
^A\!E_\ensuremath{\Lambda}=\left(\begin{array}{ccc} e^m_{\ \,\mu} & 0 & 0 \\
\frac{1}{2}\psi^a_{\ \mu} & 0 & 0 \\
\frac{1}{2}\psi^{\dot{a}}_{\ \mu} & 0 & 0 \end{array}\right), \label{physe} \\
A^m_{\ \,n\mu}=:\ensuremath{\Gamma}^m_{\ \,n\mu}(Z^\mu),    \qquad A^m_{\ \,n\ensuremath{\alpha}}=A^m_{\ \,n\dot{\ensuremath{\alpha}}}=0. \label{physA=0}
\"
9,"\begin{gather}
\Xi^m\!\!\mid\;=:\ensuremath{\epsilon}^m, \quad\Xi^a\!\!\mid\;=:-\xi^a, \quad \Xi^{\dot{a}}\!\!\mid\;=:-\xi^{\dot{a}},  \label{par1} \\
^m\!\ensuremath{\Lambda}_n\!\!\mid\;=:\ensuremath{\lambda}^m_{\ \,n}, \label{par2}
\"
