,affiliation
0,"\affiliation{T-8, Theoretical Division, MS B285, Los Alamos National
Laboratory,
Los Alamos NM 87545}"
1,"\affiliation{National Science Foundation, Arlington, VA 22230}"
2,"\affiliation{ Dipartimento di Fisica e Sezione I.N.F.N., Universita
di Perugia ,Via A. Pascoli I-06123, Perugia, Italy.}"
3,"\affiliation{ Dipartimento di Fisica e Sezione I.N.F.N., Universita
di Perugia, Via A. Pascoli I-06123, Perugia, Italy.}"
4,"\affiliation{American Physical Society, One Physics Ellipse, College Park, MD
20740}"
5,"\affiliation{T-8, Theoretical Division, MS B285, Los Alamos National
Laboratory,
Los Alamos NM 87545}"
6,"\affiliation{National Science Foundation, Arlington, VA 22230}"
7,"\affiliation{ Dipartimento di Fisica e Sezione I.N.F.N., Universita
di Perugia ,Via A. Pascoli I-06123, Perugia, Italy.}"
8,"\affiliation{ Dipartimento di Fisica e Sezione I.N.F.N., Universita
di Perugia, Via A. Pascoli I-06123, Perugia, Italy.}"
9,"\affiliation{American Physical Society, One Physics Ellipse, College Park, MD
20740}"
