,split
0,"\begin{split}
&W^\prime_{(k)}(\Phi_{(k)})=0\\
&A_{(k)}=0\qquad B_{(k)}=0
\"
1,"\begin{split}
&a_{(k)}=t_k-t_j\\
&b_{(k)}=t_l-t_{k+1}\\
&a_{(m)}=t_m\\
&b_{(m)}=-t_{m+1}\\
&\sum_{m=j}^{l-1}W^\prime_{(m)}(\phi)=0
\"
2,"\begin{split}
&N_{k,i}=\tr_{U(N_{k,i})}\mathds{1}\\
&w^\alpha_{k,i}=\frac{1}{4\pi}\tr_{U(N_{k,i})}{\cal W}^{(k,i)\alpha}\\
&S_{k,i}=-\fr\tr_{U(N_{k,i})}{{\cal W}_{\alpha}^{(k,i)}{\cal W}^{(k,i)\alpha}}
\"
3,"\begin{split}
&T_{(k)}(z)\equiv \tr \frac{1}{z-\Phi_{(k)}} \\
&\rho^\alpha_{(k)}(z)\equiv \frac{1}{4\pi}\tr\frac{{\cal W}^{(k)\alpha}}{z-\Phi_{(k)}}\\
&R_{(k)}(z)\equiv -\fr\tr\k
\"
4,"\begin{split}
&N_{k,i}= -\frac{1}{2\pi i}\oint_{C_{k,i}}dz\,T_{(k)}(z)\\
&w^\alpha_{k,i}=-\frac{1}{2\pi i}\oint_{C_{k,i}}dz\,\rho^\alpha_{(k)}(z)\\
&S_{k,i}= -\frac{1}{2\pi i}\oint_{C_{k,i}}dz\,R_{(k)}(z)
\"
5,"\begin{split}
\W B &  = \W^{(1)a_1} \rho(T_{(1)}^{a_1})(v\otimes\bar{u})+\W^{(2)a_2} \rho(T_{(2)}^{a_2})(v\otimes\bar{u})= \\
& = \W^{(1)a_1} (T_{(1)}^{a_1}v)\otimes\bar{u}+\W^{(2)a_2} v \otimes(\bar{u}T_{(2)}^{a_2})=\\
& =(\W^{(1)}v)\otimes \bar{u}+v\otimes(\bar{u}\W^{(2)})=\\
& =\W^{(1)} X_{12}+X_{12}\W^{(2)}\c= 0
\"
6,"\begin{split}
&\tr \left( \Phi_{(i_1)}^{p_1} Y^{q_1}\ldots\Phi_{(i_k)}^{p_k} Y^{q_k}\right)\\
&\tr \left(\W^{(i_1)}\Phi_{(i_1)}^{p_1} Y^{q_1}\ldots\Phi_{(i_k)}^{p_k} Y^{q_k}\right)\\
&\tr  \left(\W^{(i_1)} {\cal W}^{(i_1)\alpha} \Phi_{(i_1)}^{p_1} Y^{q_1}\ldots\Phi_{(i_k)}^{p_k} Y^{q_k}\right)
\"
7,"\begin{split}
& \delta \Phi =f_\Phi (\Phi,\W,X,\bar{X})\\
& \delta X=f_X (\Phi,\W,X,\bar{X})\\
& \delta \bar{X}=f_{\bar{X}} (\Phi,\W,X,\bar{X})
\"
8,"\begin{split}
&\left\langle \tr f_\Phi(\Phi,\W,X,\bar{X})\frac{\partial W_{tree}}{\partial \Phi}\right\rangle=-\frac{1}{32\pi^2}\left\langle\sum_{i,j}\left( \left[ \W,\left[{\cal W}^{\alpha},\frac{\partial f_\Phi (\Phi,\W,X,\bar{X})}{\partial \Phi_{ij}}  \right]   \right]  \right)_{ij}\right\rangle\\
&\left\langle \tr f_X(\Phi,\W,X,\bar{X})\frac{\partial W_{tree}}{\partial X}\right\rangle=-\frac{1}{32\pi^2}\left\langle\sum_{i,j}\left( \W{\cal W}^{\alpha}\frac{\partial f_X (\Phi,\W,X,\bar{X})}{\partial X_{ij}}  \right)_{ij}\right\rangle\\
&\left\langle \tr f_{\bar{X}}(\Phi,\W,X,\bar{X})\frac{\partial W_{tree}}{\partial \bar{X}}\right\rangle=-\frac{1}{32\pi^2}\left\langle\sum_{i,j}\left( \W{\cal W}^{\alpha}\frac{\partial f_{\bar{X}} (\Phi,\W,X,\bar{X})}{\partial \bar{X}_{ij}}  \right)_{ij}\right\rangle\\
\"
9,"\begin{split}
&-\fr\tr X \frac{{\cal W}_\alpha^{(2)}{\cal W}^{(2)}_\alpha}{z-\Phi_{(2)}}\bar{X}=R_{(1)}^2-W^\prime_{(1)}R_{(1)}-\frac{1}{4}f_{(1)}-R_{(1)}R_{(2)}\\
&-\fr\tr \bar{X} \frac{{\cal W}_\alpha^{(2)}{\cal W}^{(2)}_\alpha}{z-\Phi_{(1)}}X=-(R_{(2)}^2-W^\prime_{(2)}R_{(2)}-\frac{1}{4}f_{(2)}-R_{(1)}R_{(2)})
\"
