,multline
0,"\begin{multline}
V_0^{(s)}=1,\quad
V_1^{(s)}=\kappa,\quad V_2^{(s)}=\frac{\kappa^2}{2}-s,
\quad V_3^{(s)}=\frac{\kappa^3}{6}-\Bigl(\frac{1}{3}+s\Bigr)\kappa,
\\
V_4^{(s)}=\frac{\kappa^4}{24}-\Bigl(\frac{1}{3}+\frac{s}{2}\Bigr)\kappa^2
+\frac{s(s+1)}{2},
\quad\dots.
\label{polynom}
\"
1,"\begin{multline}
\Bigl\{e^{w-\overline{w}'}+e^{\overline{w}'-w}\Bigr\}^{-2s}
=\sum_{j=0}^{\infty}
\frac{\Gamma(2s+j)}{\Gamma(2s)\Gamma(j+1)}\,
(-1)^j\,\left[e^{\overline{w}'-w}\right]^{2(s+j)}
\\
=\frac{1}{2i}\,\oint_C dj\,
\frac{1}{\sin(\pi j)}\,
\frac{\Gamma(2s+j)}{\Gamma(2s)\Gamma(j+1)}\,
\left[e^{\overline{w}'-w}\right]^{2(s+j)},
\label{ws1}
\"
2,"\begin{multline}
\langle V_3^{2,-1}|=N_{\textsf{gh}}\,{}_{123}\langle +|
\exp\left[-\sum_{I,J=1}^3\sum_{m=1,n=1}
b_m^{(I)} \frac{1}{\sqrt{m}}\,\bigl(M^{IJ}_{bc}C\bigr)_{mn}
\sqrt{n}\,
c_n^{(J)}\right]
\\
\times
\exp\left[-\sum_{I,J=1}^3\sum_{n=1}
b_0^{(I)} \bigl(M^{IJ}_{bc}C\bigr)_{0n}
\sqrt{n}\,
c_n^{(J)}\right],
\label{Vgh1}
\"
3,"\begin{multline}
M_{\beta\gamma}^{IJ}(z,\oz')\equiv \sum_{r,s=\frac12}^{\infty}
\bigl(M_{\beta\gamma}^{IJ}\bigr)_{rs}z^{r-\frac12}(-\oz')^{s-\frac12}
=-\frac{\delta^{IJ}}{z+\oz'}
\\
+\frac{1}{2}\left[
\left(\frac{h_I(z)}{h_J(-\oz')}\right)^{\frac12}
+
\left(\frac{h_I(z)}{h_J(-\oz')}\right)^{-\frac12}
\right]
\,
\frac{\bigl[h_I'(z)\bigr]^{1/2}\bigl[h_J'(-\oz')\bigr]^{1/2}}{h_I(z)-h_J(-\oz')}
.
\label{superN}
\"
4,"\begin{multline}
\langle V_3^{2,-1}|=N_{\textsf{gh}}\,{}_{123}\langle +|
\exp\left[
\int_{-\infty}^{\infty}d\kappa\,
b^{-(I)}(\kappa)\,\mu_{bc}^{IJ}(\kappa)\,C\,c^{-(J)}(\kappa)
\right]
\\
\times
\exp\left[
b_0^{(I)}\,\int_{-\infty}^{\infty}d\kappa\,
\bigl[\mu^{IJ}_{bc}(\kappa)
-\mu_{bc}^{IJ}(0)\bigr]\,\mathscr{P}\,\frac{\sqrt{A_1(\kappa)}}{\kappa}\,
C\,c^{-(J)}(\kappa)
\right].
\label{Vgh2}
\"
5,"\begin{multline}
M_{\beta\gamma}^{IJ}(z,\oz')=\cosh w\cosh\ow'\,\frac{1}{2i}
\int_C\frac{dj}{\sin\pi j}\left\{
-\delta^{IJ}\,2i e^{\mp \frac{i\pi}{2}} \Bigl[e^{\pm i\pi}
e^{2(\ow'-w)}\Bigr]^{j+\frac12}
\right.
\\
\left.
-\frac{3}{8i}\,\Bigl[-e^{\frac{4}{3}(\ow'-w)+i(\varphi_J-\varphi_I)}\Bigr]^{j}
+\frac{3}{8i}\,\Bigl[-e^{\frac{4}{3}(\ow'-w)+i(\varphi_J-\varphi_I)}\Bigr]^{j+1}
\right\}
\label{int2}
\"
6,"\begin{multline}
a^{\pm}(\kappa,p)
=\mp i \left[
\frac{\kappa}{2\sinh\frac{\pi\kappa}{2}}
\right]^{1/2}\left\{\mathscr{P}\frac{\hat{p}}{\kappa}
+\alpha_{\mp 1}+\frac{1}{2}\,\kappa\,\alpha_{\mp 2}
\right.
\\
\left.
+\frac{1}{6}(\kappa^2-2)\,\alpha_{\mp 3}+
\frac{1}{24}(\kappa^3-8\kappa)\alpha_{\mp 4}+\dots
\right\}.
\"
7,"\begin{multline}
\left.\Oc_s(z)\right|_{|z|=1}=
\int_{-\infty}^{\infty} d\kappa\,
\Bigl\{
\mathbf{a}^+(\kappa)\,|\kappa,s\rangle(z)
+\mathbf{a}^-(\kappa)\,\oz^{2s}\,|\kappa,s\rangle(\oz)
\Bigr\}+\text{rest}
\\
\equiv\int_{-\infty}^{\infty} d\kappa\,\sqrt{A_s(\kappa)}\,
\Bigl\{
\mathbf{a}^+(\kappa)\,[\cosh w]^{2s}\,e^{i\kappa w}
+\mathbf{a}^-(\kappa)\,\oz^{2s}\,
[\cosh \ow]^{2s}\,e^{-i\kappa \ow}
\Bigr\}+\text{rest}.
\label{psiz}
\"
8,"\begin{multline}
M^{IJ}_{s,N}(z,\oz')=\Bigl[
\cosh w\cosh\overline{w}'
\Bigr]^{2s}\,
\frac{1}{2i}\oint_C\frac{dj}{\sin(\pi j)}\frac{\Gamma(2s+j)}{\Gamma(j+1)}
\\
\times\left\{
\left(\frac{4}{N}\right)^{2s}
\left[-e^{i(\varphi_J-\varphi_I)}e^{4(\overline{w}'-w)/N}\right]^{s+j}
-\delta^{IJ}\,2^{2s}
\left[-e^{2(\overline{w}'-w)}\right]^{s+j}
\right\},
\label{M1J}
\"
9,"\begin{multline}
\mathrm{Id}_{s\to 0}(z,\oz')=
\Gamma(2s)-\log\bigl(1-z\oz'\bigr)+O(s)
=\Gamma(2s)+\int_0^zd\zeta\,\int_0^{\oz'}d\bar{\zeta}'\,
\bigl[1-\zeta\bar{\zeta}'\bigr]^{-2}
\\
=|0,s\rangle\otimes\langle 0,s|+
\int_{-\infty}^{\infty}d\kappa\,|\kappa,\Omega\rangle(z)
\otimes \langle\kappa,\Omega|(\oz').
\label{514}
\"
