,affiliation
0,"\affiliation{School of Physics and Astronomy, Queen Mary University of London, Mile End Road, London, E1 4NS, UK}"
1,"\affiliation{Department of Materials Science and Metallurgy, University of Cambridge, 27 Charles Babbage Road, Cambridge CB3 0FS, United Kingdom}"
2,"\affiliation{Cavendish Laboratory, University of Cambridge, J. J. Thomson Avenue, Cambridge CB3 0HE, United Kingdom}"
3,"\affiliation{Department of Materials Science and Metallurgy, University of Cambridge, 27 Charles Babbage Road, Cambridge CB3 0FS, United Kingdom}"
4,"\affiliation{Advanced Institute for Materials Research, Tohoku University, Sendai, Japan}"
5,"\affiliation{Institute for High Pressure Physics, RAS, 108840, Troitsk, Moscow, Russia}"
6,"\affiliation{School of Physics and Astronomy, Queen Mary University of London, Mile End Road, London, E1 4NS, UK}"
7,"\affiliation{Department of Materials Science and Metallurgy, University of Cambridge, 27 Charles Babbage Road, Cambridge CB3 0FS, United Kingdom}"
8,"\affiliation{Cavendish Laboratory, University of Cambridge, J. J. Thomson Avenue, Cambridge CB3 0HE, United Kingdom}"
9,"\affiliation{Department of Materials Science and Metallurgy, University of Cambridge, 27 Charles Babbage Road, Cambridge CB3 0FS, United Kingdom}"
10,"\affiliation{Advanced Institute for Materials Research, Tohoku University, Sendai, Japan}"
11,"\affiliation{Institute for High Pressure Physics, RAS, 108840, Troitsk, Moscow, Russia}"
