,cite
0,\cite{ashcroft}
1,\cite{barrow}
2,\cite{barrow}
3,"\cite{kss,zaanen3,hartnoll,zaanen2,spin,behnia,zaanen1,behnia1,hartnoll1}"
4,"\cite{kss,zaanen3,hartnoll,zaanen2,spin,behnia,zaanen1,behnia1,hartnoll1}"
5,\cite{sciadv}
6,\cite{landau}
7,\cite{phillips}
8,\cite{landau}
9,"\cite{diamond,diamond1}"
10,"\cite{diamond,diamond1}"
11,\cite{ashcroft}
12,\cite{ashcroft}
13,\cite{barrow}
14,\cite{phillips}
15,\cite{zaccone}
16,\cite{landau}
17,"\cite{handbook,handbook1,handbook2}"
18,\cite{correlation}
19,"\cite{handbook,handbook1,handbook2}"
20,"\cite{handbook,handbook1,handbook2}"
21,\cite{behnia1}
22,"\cite{handbook,handbook1,handbook2}"
23,\cite{handbook}
24,"\cite{handbook,handbook1,handbook2}"
25,\cite{metals}
26,\cite{f2}
27,\cite{frenkel}
28,"\cite{frenkel,boon}"
29,"\cite{f1,f2,f3}"
30,\cite{gitis}
31,\cite{ashcroft}
32,\cite{hartnoll1}
33,"\cite{gitis,metals}"
34,\cite{vadim1}
35,"\cite{silvera,loubeyre}"
36,"\cite{silvera,loubeyre,hydrogen}"
37,"\cite{i41amd,pickard_h_natphys}"
38,"\cite{azadi_metal,morales_metal}"
39,\cite{vadim2}
40,\cite{behnia}
41,\cite{hartnoll1}
42,\cite{hadronic}
43,\cite{hadronic}
44,"\cite{zaanen3,hartnoll,zaanen2}"
45,"\cite{kss,zaanen3,hartnoll,zaanen2,spin,zaanen1}"
46,\cite{hartnoll1}
47,\cite{landau}
48,\cite{castep}
49,\cite{pbe}
50,\cite{fd_martin}
51,\cite{nondiagonal}
