,ref
0,\ref{rydberg}
1,\ref{v01}
2,\ref{v00}
3,\ref{bohr}
4,\ref{rydberg}
5,\ref{ratio}
6,\ref{v001}
7,\ref{v00}
8,\ref{bohr}
9,\ref{rydberg}
10,\ref{v1}
11,\ref{bohr}
12,\ref{v1}
13,\ref{bohr}
14,\ref{ratio}
15,\ref{v00}
16,\ref{v00}
17,\ref{v00}
18,\ref{v0}
19,\ref{v00}
20,\ref{bohr}
21,\ref{rydberg}
22,\ref{v00}
23,\ref{v00}
24,\ref{v3}
25,\ref{v00}
26,\ref{v00}
27,\ref{v3}
28,\ref{v00}
29,\ref{v3}
30,\ref{a}
31,\ref{a}
32,\ref{elemental}
33,\ref{a}
34,\ref{elemental}
35,\ref{v3}
36,\ref{v01}
37,\ref{a}
38,\ref{v3}
39,\ref{a}
40,\ref{elemental}
41,\ref{a}
42,\ref{v3}
43,\ref{v00}
44,\ref{a}
45,\ref{v00}
46,\ref{v3}
47,\ref{all}
48,\ref{elemental}
49,\ref{v3}
50,\ref{a}
51,\ref{a}
52,\ref{a}
53,\ref{all}
54,\ref{all}
55,\ref{rydberg}
56,\ref{bohr}
57,\ref{v01}
58,\ref{a}
59,\ref{v00}
60,\ref{v3}
61,\ref{v00}
62,\ref{v3}
63,\ref{rydberg}
64,\ref{bohr}
65,\ref{ratio}
66,\ref{elemental}
67,\ref{v1}
68,\ref{v3}
69,\ref{abinitio}
70,\ref{v3}
71,\ref{v3}
72,\ref{abinitio}
73,\ref{abinitio}
74,\ref{v0}
75,\ref{v0}
76,\ref{v001}
77,\ref{v3}
78,\ref{v3}
79,\ref{v3}
