9201005,Ward Identities in Two-Dimensional String Theory.
9201007,STATIC DOMAIN WALLS IN $N=1$ SUPERGRAVITY
9201008,Coulomb Gas Representations and Screening Operators of     the  $\NN$=4 Superconformal Algebras
9201022,Anomalous Jacobian Factor in the Polyakov~Measure for~Abelian Gauge~Field~in~Curved~Spacetimes
9201025,Current Algebra of Classical Non-Linear Sigma Models
9201027,COSET CONSTRUCTIONS IN CHERN-SIMONS GAUGE THEORY
9201031,New$\quad$Solutions$\quad$to$\quad$the Yang--Baxter$\quad$Equation$\quad $from Two--Dimensional$\quad$Representations of$\quad$U{{\lower7pt\hbox{{q}}(sl(2))$\quad$at$\quad$Roots$\quad$of$\quad$Unit
9201031,\null\vskip 5pt plus 0.2fill    \beginlinemode \doublespace \raggedcenter \bigbf
9201033,{{\bf \mbox{{} \\THE MULTICRITICAL KONTSEVICH--PENNER MODEL}\vspace{{.5cm}
9201035,Separation of variables for the classical and quantum Neumann model.
9201040,\bf Target Space Duality as a Symmetry of String Field Theory
9201040,\bf Target Space Duality as a Symmetry of String Field Theory
9201041,ON THE BACKGROUND INDEPENDENCE OF STRING FIELD THEORY
9201047,"Duality-Invariant Gaugino Condensation and One-loop Corrected K\""ahler Potentials in String Theory"
9201051,The Lie-Poisson Structure of Integrable Classical Non-Linear Sigma        Models
9201052, GAUGE TRANSFORMATIONS IN STRING FIELD THEORY AND CANONICAL TRANSFORMATIONS IN STRING THEORY
9201056,ALGEBRAIC STRUCTURES AND DIFFERENTIAL GEOMETRY \break \break IN 2D STRING THEORY
9201059,Quantum Hair on Black Holes
9201063,Are Textures Natural?
9201064,PERTURBING THE GROUND RING OF\break  2-D STRING THEORY
9201065,\bf Coupling of Tachyons and Discrete States in $c \! = \! 1$ 2-D Gravity
9201066,\bf Interaction of Tachyons and Discrete States in $c \! = \! 1$ 2-D Quantum Gravity
9201066,\bf Interaction of Tachyons and Discrete States in $c \! = \! 1$ 2-D Quantum Gravity
9201068,On the Black-Hole Conformal Field Theory Coupled to the Polyakov's String Theory. A Non Perturbative Analysis
9201069,A continuum string model for $D>1$
9201069,APPENDIX A
9201069,APPENDIX B
9201069,APPENDIX D
9201074,Black Hole Evaporation in 1+1 Dimensions
9201075,"Topology Change in ISO(2,1) Chern-Simons Gravity"
9201078,\bf NEW JACOBI-LIKE IDENTITIES FOR ${{\bf Z}_K$ PARAFERMION CHARACTERS
9201079,Fusion and singular vectors in $A_1^{{(1)}$ highest weight cyclic modules 
9201080,\mbox{{ }\\[19.2 mm]        SOLUTIONS OF THE KNIZHNIK - ZAMOLODCHIKOV EQUATION        WITH RATIONAL ISOSPINS AND THE REDUCTION TO THE        MINIMAL MODELS
